"","tract","severity_average","DP02_0011E","watt_average","DP02_0015E","DP02_0037E","DP02_0038E","DP02_0053E","DP02_0060E","DP02_0061E","DP02_0062E","DP02_0065E","DP02_0066E","DP02_0068E","DP02_0071E","DP02_0072E","DP02_0074E","DP02_0095E","DP02_0114E","DP02_0115E","DP02_0153E","DP03_0001E","DP03_0009E","DP03_0028E","DP03_0030E","DP03_0052E","DP03_0054E","DP03_0055E","DP03_0062E","DP03_0072E","DP03_0074E","DP03_0095E","DP03_0099E","DP03_0119E","DP04_0080E","DP04_0136E","DP05_0033E","DP05_0037E","DP05_0038E","DP05_0044E","DP05_0070E"
"47",104700,1.190938511,-888888888,85.61601643,517,13,0,1744,113,75,460,1228,799,2027,5339,501,33,338,740,146,2123,4196,-888888888,228,118,139,68,82,88376,0,88,5339,550,-888888888,1477,647,5339,4401,43,173,5339
"48",104800,1.269925611,-888888888,104.1727494,537,81,0,1737,19,152,683,1204,735,1939,5529,427,42,384,518,75,1950,4198,-888888888,541,78,205,82,79,81516,49,84,5529,529,-888888888,1343,665,5529,5356,0,59,5529
"49",104900,1.256873527,-888888888,154.3518519,149,15,0,1025,104,99,421,716,254,970,3089,389,4,246,499,288,1291,2603,-888888888,188,223,71,114,36,66691,41,112,3089,247,-888888888,760,597,3089,2829,0,90,3089
"50",111400,1.310810811,-888888888,196.1538462,425,231,54,1621,507,351,1578,670,387,1057,6666,958,0,1854,2363,968,2662,5540,-888888888,989,452,143,228,153,51705,39,249,6666,1527,-888888888,1118,1472,6821,4295,184,1000,6821
"51",111802,1.016666667,-888888888,69.58333333,260,17,0,564,78,27,313,756,389,1145,2723,375,0,471,470,265,1232,2284,-888888888,105,63,74,99,162,61496,0,72,2723,329,-888888888,675,640,2723,2219,8,283,2723
"52",114000,1.160602258,-888888888,3654.307114,259,30,0,396,39,60,265,740,600,1340,2667,415,0,343,475,75,1544,2468,-888888888,149,23,182,128,101,61917,19,193,2667,205,-888888888,628,903,2677,2254,23,152,2677
"53",114100,1.084015276,-888888888,4455.811453,240,56,0,662,17,31,204,698,772,1470,2999,273,23,167,272,42,1448,2522,-888888888,242,47,68,62,91,83399,13,74,2999,132,-888888888,649,784,2999,2730,0,171,2999
"54",114500,1.190451207,-888888888,213.1282844,381,83,28,2672,299,514,1646,495,381,876,8382,482,38,2409,3913,1488,2243,5991,-888888888,696,626,19,98,207,78591,19,284,8382,1178,-888888888,1245,1019,8509,3948,192,749,8509
"55",114700,1.147177419,-888888888,94.27130045,557,31,22,1096,254,140,998,561,79,640,4385,636,108,1116,1618,732,1431,3549,-888888888,543,247,17,49,175,64839,25,122,4385,562,-888888888,1373,183,4385,2602,54,419,4385
"56",114800,1.105263158,-888888888,58.31914894,636,42,11,960,35,27,124,799,1513,2312,3932,281,25,364,433,14,1317,3384,-888888888,163,42,25,13,18,250001,0,0,3932,69,-888888888,1294,20,3932,3562,3,170,3932
"57",980000,0.788220551,-888888888,233.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-888888888,0,0,0,0,0,-666666666,0,0,0,0,-888888888,0,0,0,0,0,0,0
